City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Bambous Virieux,MU,77.25,broken clouds,-20.3428,57.7575,Casa Tia Villa
6,Rikitea,PF,78.33,scattered clouds,-23.1203,-134.9692,People ThankYou
7,Brownsville,US,78.75,haze,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
8,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Pyu,MM,88.56,few clouds,18.4833,96.4333,Mr Bo Bo
13,Butaritari,KI,81.99,light rain,3.0707,172.7902,Isles Sunset Lodge
15,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
16,Makakilo City,US,77.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
18,Sao Joao Da Barra,BR,77.49,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
24,Atuona,PF,79.74,clear sky,-9.8,-139.0333,Villa Enata
25,Avarua,CK,84.25,overcast clouds,-21.2078,-159.775,Paradise Inn
28,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
30,Hilo,US,76.73,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
32,Sinnamary,GF,77.43,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
33,Emerald,AU,88.34,clear sky,-23.5333,148.1667,The Irish Village
37,Phan Thiet,VN,85.5,scattered clouds,10.9333,108.1,Hotel Saigon-PT
44,Cotonou,BJ,82.38,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
56,Lorengau,PG,83.95,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
60,Isangel,VU,82.02,overcast clouds,-19.55,169.2667,Tanna Lodge
61,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
62,Hithadhoo,MV,82.56,clear sky,-0.6,73.0833,Scoop Guest House
65,Puerto Ayora,EC,76.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
