City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,62.02,67,75,13.8,broken clouds
1,Mataura,NZ,-46.1927,168.8643,66.36,63,100,2.33,light rain
2,Bambous Virieux,MU,-20.3428,57.7575,77.25,94,75,10.36,broken clouds
3,Bluff,NZ,-46.6,168.3333,63.68,76,100,7.07,overcast clouds
4,Tshela,CD,-4.9833,12.9333,72.59,100,100,0.36,overcast clouds
5,Peniche,PT,39.3558,-9.3811,52.09,60,100,13.38,overcast clouds
6,Rikitea,PF,-23.1203,-134.9692,78.33,64,46,11.54,scattered clouds
7,Brownsville,US,25.9018,-97.4975,78.75,84,100,14.97,haze
8,Kapaa,US,22.0752,-159.319,80.58,72,40,13.8,scattered clouds
9,Pyu,MM,18.4833,96.4333,88.56,40,12,2.75,few clouds
10,Ketchikan,US,55.3422,-131.6461,46.87,46,40,3.44,scattered clouds
11,Ust-Maya,RU,60.4167,134.5333,25.29,79,100,9.95,overcast clouds
12,Nueva Armenia,HN,15.7956,-86.4985,78.98,94,3,3.11,clear sky
13,Butaritari,KI,3.0707,172.7902,81.99,80,25,15.66,light rain
14,Sao Filipe,CV,14.8961,-24.4956,71.13,77,4,5.39,clear sky
15,Vaini,TO,-21.2,-175.2,80.76,83,75,6.91,broken clouds
16,Makakilo City,US,21.3469,-158.0858,77.32,61,75,13.8,broken clouds
17,Otanche,CO,5.6567,-74.1825,66.25,98,99,3.62,overcast clouds
18,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.49,88,0,8.75,clear sky
19,Cidreira,BR,-30.1811,-50.2056,68.58,88,60,7.25,broken clouds
20,Port Elizabeth,ZA,-33.918,25.5701,65.32,75,0,11.01,clear sky
21,Bredasdorp,ZA,-34.5322,20.0403,57.76,84,7,6.04,clear sky
22,Chokurdakh,RU,70.6333,147.9167,-6.65,92,17,9.75,few clouds
23,Nikolskoye,RU,59.7035,30.7861,36.88,96,100,13.82,overcast clouds
24,Atuona,PF,-9.8,-139.0333,79.74,74,5,21.92,clear sky
25,Avarua,CK,-21.2078,-159.775,84.25,74,100,3.44,overcast clouds
26,Busselton,AU,-33.65,115.3333,64.67,51,0,9.06,clear sky
27,Yatou,CN,37.15,122.3833,54.55,61,100,20.45,overcast clouds
28,Georgetown,MY,5.4112,100.3354,82.33,86,20,4.61,few clouds
29,Goundam,ML,16.4145,-3.6708,83.14,13,0,9.93,clear sky
30,Hilo,US,19.7297,-155.09,76.73,78,75,5.75,broken clouds
31,Bria,CF,6.5423,21.9863,70.32,83,40,5.21,scattered clouds
32,Sinnamary,GF,5.3833,-52.95,77.43,86,98,9.24,overcast clouds
33,Emerald,AU,-23.5333,148.1667,88.34,48,5,5.75,clear sky
34,Calvinia,ZA,-31.4707,19.776,47.23,98,31,4.23,scattered clouds
35,Moose Factory,CA,51.2585,-80.6094,15.8,92,0,5.75,clear sky
36,Trapani,IT,37.8333,12.6667,50.88,83,26,5.21,scattered clouds
37,Phan Thiet,VN,10.9333,108.1,85.5,59,35,10.31,scattered clouds
38,Egvekinot,RU,66.3167,-179.1667,-5.1,82,21,15.48,few clouds
39,Lebu,CL,-37.6167,-73.65,55.02,80,96,14.92,overcast clouds
40,Evensk,RU,61.95,159.2333,19.45,75,26,3.36,scattered clouds
41,Mar Del Plata,AR,-38.0023,-57.5575,62.87,75,0,3.0,clear sky
42,Kurumkan,RU,54.3,110.3,16.0,76,21,1.28,few clouds
43,Salekhard,RU,66.53,66.6019,5.5,96,30,3.89,scattered clouds
44,Cotonou,BJ,6.3654,2.4183,82.38,89,40,10.36,scattered clouds
45,Albany,US,42.6001,-73.9662,42.76,70,100,5.19,overcast clouds
46,Ust-Nera,RU,64.5667,143.2,11.25,86,94,6.53,overcast clouds
47,Vila Franca Do Campo,PT,37.7167,-25.4333,55.81,65,94,3.91,overcast clouds
48,Barrow,US,71.2906,-156.7887,-5.78,65,100,16.11,light snow
49,Jamestown,US,42.097,-79.2353,41.05,52,100,5.75,overcast clouds
50,Ahipara,NZ,-35.1667,173.1667,72.03,75,100,7.4,overcast clouds
51,Rincon,US,32.296,-81.2354,66.85,77,0,4.61,clear sky
52,Ponta Do Sol,PT,32.6667,-17.1,56.03,75,30,11.86,scattered clouds
53,Alofi,NU,-19.0595,-169.9187,73.29,100,100,3.44,overcast clouds
54,Bose,IT,45.4612,8.0137,40.28,76,2,3.69,clear sky
55,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,42,0,31.07,clear sky
56,Lorengau,PG,-2.0226,147.2712,83.95,75,100,15.52,moderate rain
57,Bumba,CD,2.1833,22.4667,71.51,94,100,0.54,overcast clouds
58,Hay River,CA,60.8156,-115.7999,44.58,49,75,5.75,broken clouds
59,Clyde River,CA,70.4692,-68.5914,7.03,72,0,3.44,clear sky
60,Isangel,VU,-19.55,169.2667,82.02,80,100,9.64,overcast clouds
61,Vila Velha,BR,-20.3297,-40.2925,76.95,93,20,2.3,few clouds
62,Hithadhoo,MV,-0.6,73.0833,82.56,67,7,1.92,clear sky
63,Selishche,RU,56.8879,33.2691,30.11,89,99,12.46,overcast clouds
64,Cape Town,ZA,-33.9258,18.4232,60.28,90,75,10.36,broken clouds
65,Puerto Ayora,EC,-0.7393,-90.3518,76.55,94,29,6.06,scattered clouds
66,Chuy,UY,-33.6971,-53.4616,55.08,63,0,4.88,clear sky
67,Paamiut,GL,61.994,-49.6678,30.65,95,100,11.88,overcast clouds
68,Kruisfontein,ZA,-34.0033,24.7314,57.88,73,2,9.28,clear sky
69,Hermanus,ZA,-34.4187,19.2345,61.81,82,5,11.43,clear sky
70,Puerto Ayacucho,VE,5.6639,-67.6236,75.42,90,49,4.18,scattered clouds
71,Bandarbeyla,SO,9.4942,50.8122,76.06,78,44,4.0,scattered clouds
72,Katsuura,JP,35.1333,140.3,52.02,89,99,21.74,overcast clouds
73,Le Vauclin,MQ,14.5452,-60.8388,77.05,73,20,11.5,few clouds
74,Kiunga,PG,-6.1219,141.2906,89.11,56,89,1.52,overcast clouds
75,Punta Arenas,CL,-53.15,-70.9167,37.51,81,75,26.46,broken clouds
76,Tahta,EG,26.7693,31.5021,75.7,13,0,3.98,clear sky
77,Muleba,TZ,-1.8397,31.6544,67.15,79,67,5.53,light rain
78,Santiago,CL,-33.4569,-70.6483,70.99,42,0,6.91,clear sky
79,Verrettes,HT,19.05,-72.4667,77.9,78,96,3.94,overcast clouds
80,Kimbe,PG,-5.5502,150.1429,84.94,71,44,5.91,light rain
81,Pospelikha,RU,51.95,81.7667,42.58,70,85,7.72,overcast clouds
82,Tiksi,RU,71.6872,128.8694,-2.99,98,100,4.83,overcast clouds
83,Port Alfred,ZA,-33.5906,26.891,62.51,78,0,8.95,clear sky
84,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,70,75,5.75,broken clouds
85,Narbonne,FR,43.0833,2.8333,43.32,37,0,11.03,clear sky
86,Progreso,MX,21.2833,-89.6667,89.71,62,0,14.0,clear sky
87,Aromashevo,RU,56.8602,68.6375,36.21,99,100,8.21,overcast clouds
88,East London,ZA,-33.0153,27.9116,64.17,76,5,7.14,clear sky
89,Hirara,JP,24.8,125.2833,73.26,60,75,11.5,broken clouds
90,Bethel,US,41.3712,-73.414,48.54,60,40,4.61,scattered clouds
91,Ushuaia,AR,-54.8,-68.3,35.26,93,100,17.27,sleet
92,Ilulissat,GL,69.2167,-51.1,28.42,74,60,3.44,broken clouds
93,Puerto Escondido,MX,15.85,-97.0667,79.63,73,20,5.75,few clouds
94,Touros,BR,-5.1989,-35.4608,77.14,82,74,9.24,broken clouds
95,Alexandria,EG,31.2156,29.9553,60.76,72,0,5.75,clear sky
96,Puerto Madero,MX,14.7208,-92.4215,82.6,78,20,0.0,few clouds
97,Neiafu,TO,-18.65,-173.9833,81.28,83,75,8.05,broken clouds
98,Leningradskiy,RU,69.3833,178.4167,-1.73,83,52,3.85,broken clouds
99,Yellowknife,CA,62.456,-114.3525,38.28,69,75,5.75,broken clouds
100,Kodiak,US,57.79,-152.4072,38.71,48,75,11.5,broken clouds
101,Kondinskoye,RU,59.6481,67.41,34.12,100,100,5.06,overcast clouds
102,Mahebourg,MU,-20.4081,57.7,77.29,94,75,10.36,broken clouds
103,Aksu,CN,41.1231,80.2644,63.41,20,7,3.22,clear sky
104,Salihorsk,BY,52.7876,27.5415,31.62,77,100,20.27,overcast clouds
105,Mae Sot,TH,16.7167,98.5667,80.55,57,0,2.3,clear sky
106,Saint-Philippe,RE,-21.3585,55.7679,75.22,88,71,11.1,light rain
107,Ola,RU,59.5833,151.2833,25.14,82,100,23.53,light snow
108,Bartica,GY,6.4,-58.6167,75.52,99,33,2.48,scattered clouds
109,Kainantu,PG,-6.2887,145.8655,77.43,53,98,1.66,overcast clouds
110,Iranshahr,IR,27.2025,60.6848,68.34,18,0,6.91,clear sky
111,Saulkrasti,LV,57.2622,24.4147,37.35,96,100,26.02,light snow
112,Ocampo,MX,21.65,-101.5,62.37,16,4,10.6,clear sky
113,Sibut,CF,5.718,19.0739,73.58,77,91,3.85,overcast clouds
114,Beringovskiy,RU,63.05,179.3167,-0.71,82,59,16.62,broken clouds
115,Khatanga,RU,71.9667,102.5,-2.72,84,22,7.38,few clouds
116,Caravelas,BR,-17.7125,-39.2481,75.74,83,0,3.2,clear sky
117,Tukrah,LY,32.5341,20.5791,73.27,24,79,9.75,broken clouds
118,Moron,AR,-34.6534,-58.6198,60.55,62,61,4.45,broken clouds
119,Port Hedland,AU,-20.3167,118.5667,95.05,41,1,8.05,clear sky
120,Shache,CN,38.4167,77.2406,64.92,16,0,1.36,clear sky
121,Lompoc,US,34.6391,-120.4579,71.56,76,0,40.0,haze
122,Kamenka,RU,51.3223,42.7678,30.22,80,32,6.49,scattered clouds
123,Charyshskoye,RU,51.3978,83.5598,45.79,85,50,3.78,scattered clouds
124,Itarema,BR,-2.9248,-39.9167,76.59,89,100,6.64,overcast clouds
125,Dabat,ET,12.9842,37.765,59.27,38,3,7.18,clear sky
126,Yulara,AU,-25.2406,130.9889,89.44,12,1,4.61,clear sky
127,Kavieng,PG,-2.5744,150.7967,83.35,75,100,9.75,moderate rain
128,Namibe,AO,-15.1961,12.1522,67.64,82,30,5.77,scattered clouds
129,Scarborough,GB,54.2797,-0.4044,50.16,84,100,3.0,overcast clouds
130,Saldanha,ZA,-33.0117,17.9442,59.05,87,17,9.13,few clouds
131,El Astillero,ES,43.4009,-3.8205,40.87,81,0,4.0,clear sky
132,Balykshi,KZ,47.0667,51.8667,39.2,81,0,13.42,clear sky
133,Albanel,CA,48.8832,-72.4487,32.14,54,14,9.22,few clouds
134,Qaanaaq,GL,77.484,-69.3632,28.65,72,100,9.98,overcast clouds
135,Jieshi,CN,22.8134,115.8257,71.94,53,0,4.83,clear sky
136,Kieta,PG,-6.2167,155.6333,83.41,82,100,9.82,moderate rain
137,Hasaki,JP,35.7333,140.8333,52.2,80,100,20.15,overcast clouds
138,Dembi Dolo,ET,8.5333,34.8,60.35,80,85,5.37,overcast clouds
139,Mitu,CO,1.1983,-70.1733,72.03,98,80,1.43,broken clouds
140,Dzaoudzi,YT,-12.7887,45.2699,78.69,94,0,5.75,clear sky
141,Minab,IR,27.1467,57.0801,64.72,63,9,0.0,haze
142,Dzerzhinskoye,RU,56.8344,95.2283,28.96,93,100,5.88,overcast clouds
143,Rawson,AR,-43.3002,-65.1023,63.28,41,96,7.14,overcast clouds
144,Dingle,PH,10.9995,122.6711,85.06,66,100,10.71,overcast clouds
145,Geraldton,AU,-28.7667,114.6,73.81,64,0,21.85,clear sky
146,Tessalit,ML,20.1986,1.0114,80.78,9,0,2.66,clear sky
147,Dori,BF,14.0354,-0.0345,87.13,23,98,5.77,overcast clouds
148,Ribeira Grande,PT,38.5167,-28.7,59.99,74,44,8.7,scattered clouds
149,Knysna,ZA,-34.0363,23.0471,60.06,88,9,4.34,clear sky
150,Upernavik,GL,72.7868,-56.1549,18.09,82,100,5.84,overcast clouds
151,Tyup,KG,42.7276,78.3648,46.58,48,84,0.4,broken clouds
152,Gizo,SB,-8.103,156.8419,84.61,73,97,14.03,light rain
153,College,US,64.8569,-147.8028,24.58,55,75,8.05,broken clouds
154,Naliya,IN,23.2667,68.8333,80.74,56,14,10.92,few clouds
155,Castro,BR,-24.7911,-50.0119,64.04,95,100,1.23,overcast clouds
156,Guerrero Negro,MX,27.9769,-114.0611,59.74,86,0,17.0,clear sky
157,Ondjiva,AO,-17.0667,15.7333,64.24,72,50,5.73,scattered clouds
158,Ancud,CL,-41.8697,-73.8203,57.22,97,100,12.59,light rain
159,Bengkulu,ID,-3.8004,102.2655,84.16,59,33,4.65,scattered clouds
160,Iqaluit,CA,63.7506,-68.5145,6.53,77,40,12.66,scattered clouds
161,Necochea,AR,-38.5473,-58.7368,52.32,69,56,9.64,broken clouds
162,Pevek,RU,69.7008,170.3133,-7.42,89,60,1.66,broken clouds
163,Teshie,GH,5.5836,-0.1072,82.96,83,20,11.5,few clouds
164,Mandawar,IN,29.5,78.1333,83.55,8,45,4.5,scattered clouds
165,Talnakh,RU,69.4865,88.3972,6.94,79,31,9.98,scattered clouds
166,George Town,MY,5.4112,100.3354,82.33,87,20,5.01,few clouds
167,Narsaq,GL,60.9167,-46.05,46.62,72,100,4.45,overcast clouds
168,Mezen,RU,65.8522,44.24,7.57,97,44,5.03,scattered clouds
169,Arlit,NE,18.7369,7.3853,83.52,7,98,7.76,overcast clouds
170,Tashara,RU,55.5195,83.5094,39.79,86,100,9.4,overcast clouds
171,Zhigansk,RU,66.7697,123.3711,4.14,85,87,16.6,overcast clouds
172,Severo-Kurilsk,RU,50.6789,156.125,35.89,92,30,7.81,scattered clouds
173,Bathsheba,BB,13.2167,-59.5167,79.41,69,40,18.41,scattered clouds
174,Lazaro Cardenas,MX,17.9583,-102.2,71.49,82,37,5.64,scattered clouds
175,Sayyan,YE,15.1718,44.3244,53.69,17,27,4.41,scattered clouds
176,Cayenne,GF,4.9333,-52.3333,80.1,1,75,1.99,broken clouds
177,Provideniya,RU,64.3833,-173.3,10.51,61,0,13.42,clear sky
178,Japura,ID,-0.3167,102.35,85.1,70,48,2.59,scattered clouds
179,Akyab,MM,20.15,92.9,83.46,67,7,1.68,clear sky
180,Bontang,ID,0.1333,117.5,76.82,92,100,7.49,overcast clouds
181,Avera,US,33.194,-82.5271,58.51,57,53,3.69,broken clouds
182,Pangnirtung,CA,66.1451,-65.7125,4.01,97,100,1.52,overcast clouds
183,Dikson,RU,73.5069,80.5464,4.87,81,50,16.06,scattered clouds
184,Longyearbyen,SJ,78.2186,15.6401,10.24,61,20,14.97,few clouds
185,Cheremnoye,RU,53.1697,83.2133,43.39,80,92,8.37,overcast clouds
186,Novouzensk,RU,50.4592,48.1431,32.59,89,22,10.33,few clouds
187,Mount Gambier,AU,-37.8333,140.7667,60.71,67,40,5.75,scattered clouds
188,Thinadhoo,MV,0.5333,72.9333,82.62,68,1,2.06,clear sky
189,Camacha,PT,33.0833,-16.3333,53.02,67,40,17.27,scattered clouds
190,Lefka,CY,35.1106,32.8506,63.63,35,54,3.22,broken clouds
191,Cerrito,CO,6.8432,-72.694,54.99,91,92,3.58,overcast clouds
192,Laguna,US,38.421,-121.4238,69.94,67,0,10.36,clear sky
193,Beckley,US,37.7782,-81.1882,54.01,55,100,3.44,overcast clouds
194,Den Helder,NL,52.9599,4.7593,45.99,99,100,10.0,overcast clouds
195,Ferme-Neuve,CA,46.7001,-75.4493,29.48,96,95,1.88,overcast clouds
196,Brigantine,US,39.4101,-74.3646,46.99,75,0,4.61,clear sky
197,Codrington,AU,-38.2667,141.9667,63.09,57,100,8.05,overcast clouds
198,Viransehir,TR,37.2353,39.7631,54.93,44,40,4.21,scattered clouds
199,Banjarmasin,ID,-3.3244,114.591,80.74,73,100,2.35,overcast clouds
200,Patacamaya,BO,-17.2333,-67.9167,43.9,87,23,6.42,few clouds
201,Dmytrivka,UA,45.9717,28.9864,36.28,73,0,8.68,clear sky
202,Ipora,BR,-16.4419,-51.1178,69.24,68,0,3.31,clear sky
203,Padang,ID,-0.9492,100.3543,82.45,61,32,4.23,scattered clouds
204,Menongue,AO,-14.6585,17.691,63.84,92,100,2.24,overcast clouds
205,Souillac,MU,-20.5167,57.5167,77.38,94,75,10.36,broken clouds
206,Sioux Lookout,CA,50.1001,-91.917,35.67,80,75,4.61,broken clouds
207,Galesong,ID,-5.3166,119.3661,84.22,67,94,4.29,overcast clouds
208,Norman Wells,CA,65.282,-126.8329,3.24,51,75,12.66,broken clouds
209,Singaraja,ID,-8.112,115.0882,86.09,60,46,3.15,scattered clouds
210,Port Blair,IN,11.6667,92.75,80.64,89,40,2.3,scattered clouds
211,Sitka,US,57.0531,-135.33,44.49,65,100,12.66,overcast clouds
212,Xai-Xai,MZ,-25.0519,33.6442,70.41,71,36,6.29,scattered clouds
213,Ushtobe,KZ,45.2514,77.9838,64.11,26,41,3.94,scattered clouds
214,Nanortalik,GL,60.1432,-45.2371,33.4,82,100,4.41,overcast clouds
215,Saskylakh,RU,71.9167,114.0833,-3.73,94,99,8.43,overcast clouds
216,Iberia,US,29.9502,-91.7507,71.6,78,100,16.11,overcast clouds
217,Cam Ranh,VN,11.9214,109.1591,76.96,83,75,12.66,broken clouds
218,Constantine,DZ,36.365,6.6147,51.21,93,75,4.61,broken clouds
219,Khani,GE,41.9563,42.9566,40.57,82,80,7.85,broken clouds
220,Luderitz,NA,-26.6481,15.1594,58.08,80,0,6.55,clear sky
221,Safaga,EG,26.7292,33.9365,77.29,31,0,12.68,clear sky
222,Golyshmanovo,RU,56.3979,68.3728,36.59,98,100,7.72,overcast clouds
223,Cay,TR,38.5917,31.0286,49.69,56,100,6.26,overcast clouds
224,Coahuayana,MX,18.7333,-103.6833,67.32,91,17,2.08,few clouds
225,Grindavik,IS,63.8424,-22.4338,28.9,93,100,23.02,light snow
226,Kapit,MY,2.0167,112.9333,76.91,93,100,1.68,overcast clouds
227,Manicore,BR,-5.8092,-61.3003,73.65,97,100,2.57,overcast clouds
228,Jacareacanga,BR,-6.2222,-57.7528,73.51,99,100,2.19,overcast clouds
229,Mokhsogollokh,RU,61.4681,128.9203,20.61,76,100,10.63,overcast clouds
230,Airai,TL,-8.9266,125.4092,75.16,47,16,1.61,few clouds
231,Loiza,PR,18.4313,-65.8802,78.06,88,40,3.44,scattered clouds
232,Nelson Bay,AU,-32.7167,152.15,77.05,64,0,8.79,clear sky
233,Cap Malheureux,MU,-19.9842,57.6142,77.47,87,26,5.01,scattered clouds
234,Tallahassee,US,30.4383,-84.2807,65.32,80,0,3.44,clear sky
235,Dera Ghazi Khan,PK,30.0561,70.6348,85.15,8,2,7.58,clear sky
236,Chenghai,CN,23.4632,116.768,69.71,49,0,2.24,clear sky
237,Marawi,PH,7.9986,124.2928,77.31,76,100,5.75,overcast clouds
238,Hami,CN,42.8,93.45,66.97,10,2,1.34,clear sky
239,Ormara,PK,25.2088,64.6357,78.31,71,0,9.98,clear sky
240,Kouqian,CN,43.6391,126.4578,44.85,41,93,18.75,overcast clouds
241,Malanje,AO,-9.5402,16.341,64.72,97,99,3.2,overcast clouds
242,Kamaishi,JP,39.2667,141.8833,52.88,75,67,6.49,broken clouds
243,Qujing,CN,25.4833,103.7833,46.94,87,100,6.96,overcast clouds
244,Praya,CV,14.9215,-23.5087,70.34,78,75,10.36,broken clouds
245,Panama City,PA,8.9936,-79.5197,79.45,89,40,2.3,scattered clouds
246,Valparaiso,CL,-33.0393,-71.6273,59.47,65,0,5.75,clear sky
247,Maniitsoq,GL,65.4167,-52.9,24.04,84,61,3.6,broken clouds
248,Tromso,NO,69.6496,18.957,15.82,86,20,3.44,few clouds
249,Kuala Terengganu,MY,5.3302,103.1408,80.55,83,20,5.01,moderate rain
250,Tura,IN,25.5198,90.2201,76.8,76,79,6.87,broken clouds
251,Zamboanguita,PH,9.1025,123.1996,84.24,74,99,12.17,overcast clouds
252,Portland,US,45.5234,-122.6762,46.45,83,20,12.66,few clouds
253,Najran,SA,17.4924,44.1277,59.65,12,0,2.84,clear sky
254,Viedma,AR,-40.8135,-62.9967,59.88,35,7,15.61,clear sky
255,Taoudenni,ML,22.6783,-3.9836,79.23,20,0,8.72,clear sky
256,Dothan,US,31.2232,-85.3905,67.24,64,0,5.75,clear sky
257,Port Hardy,CA,50.6996,-127.4199,44.6,93,75,9.22,light intensity shower rain
258,Port Lincoln,AU,-34.7333,135.8667,61.48,78,100,15.39,moderate rain
259,Ayan,RU,56.45,138.1667,31.57,56,51,6.49,broken clouds
260,Yuzhno-Kurilsk,RU,44.0306,145.8556,44.17,77,15,12.48,few clouds
261,Hun,LY,29.1268,15.9477,80.65,6,0,7.38,clear sky
262,Auch,FR,43.65,0.5833,36.34,77,0,2.98,clear sky
263,Riyadh,SA,24.6877,46.7219,69.94,12,8,4.05,clear sky
264,Nouadhibou,MR,20.931,-17.0347,64.38,88,0,8.05,clear sky
265,San Quintin,MX,30.4833,-115.95,59.61,86,13,10.18,few clouds
266,Novyye Burasy,RU,52.1324,46.0714,27.61,89,26,8.52,scattered clouds
267,Carnarvon,AU,-24.8667,113.6333,82.47,61,0,12.66,clear sky
268,Cherskiy,RU,68.75,161.3,0.5,85,24,4.38,few clouds
269,Fortuna,US,40.5982,-124.1573,52.93,91,100,3.44,overcast clouds
270,Margate,GB,51.3813,1.3862,53.31,82,100,5.99,overcast clouds
271,Sola,VU,-13.8833,167.55,82.47,72,100,11.95,overcast clouds
272,Ituiutaba,BR,-18.9689,-49.465,72.84,65,18,3.69,few clouds
273,Cravo Norte,CO,6.3017,-70.2041,85.28,59,100,1.21,overcast clouds
274,Victoria,HK,22.2855,114.1577,76.95,56,8,5.99,clear sky
275,Natal,BR,-5.795,-35.2094,77.22,94,20,4.61,few clouds
276,Morro Bay,US,35.3658,-120.8499,64.15,81,6,7.0,clear sky
277,New Norfolk,AU,-42.7826,147.0587,61.66,59,100,3.0,overcast clouds
278,Mocuba,MZ,-16.8392,36.9856,69.69,98,12,3.47,few clouds
279,Abha,SA,18.2164,42.5053,58.82,12,0,0.0,clear sky
280,Dongsheng,CN,39.8161,109.9776,55.35,15,0,4.54,clear sky
281,Saint George,US,37.1041,-113.5841,76.62,14,0,8.05,clear sky
282,Salo,IT,45.6086,10.531,43.79,74,8,4.45,clear sky
283,Quang Ngai,VN,15.1167,108.8,71.96,88,100,7.76,overcast clouds
284,Grand-Santi,GF,4.25,-54.3833,72.1,100,99,1.7,overcast clouds
285,Vardo,NO,70.3705,31.1107,29.19,60,100,21.23,light snow
286,Udachnyy,RU,66.4167,112.4,5.45,77,100,6.78,overcast clouds
287,Binzhou,CN,37.3667,118.0167,70.77,42,28,9.82,scattered clouds
288,Hambantota,LK,6.1241,81.1185,80.94,94,40,2.3,light rain
289,Ono,JP,34.85,134.9333,58.48,26,9,5.17,clear sky
290,Hualmay,PE,-11.0964,-77.6139,69.15,84,87,9.44,overcast clouds
291,Bend,US,44.0582,-121.3153,37.26,73,0,13.0,clear sky
292,Qasigiannguit,GL,68.8193,-51.1922,28.65,83,48,5.7,scattered clouds
293,Bullas,ES,38.0467,-1.6723,41.4,94,100,9.82,overcast clouds
294,Kyzyl-Suu,KG,42.3414,78.0056,50.79,37,83,2.04,broken clouds
295,Liepaja,LV,56.5419,21.0367,37.38,93,100,25.32,overcast clouds
296,Acarau,BR,-2.8856,-40.12,77.45,87,100,7.56,overcast clouds
297,Shimoda,JP,34.6667,138.95,61.11,67,29,12.37,scattered clouds
298,Le Port,RE,-20.9373,55.2919,76.96,84,23,4.7,light rain
299,Nhulunbuy,AU,-12.2333,136.7667,90.21,58,20,8.05,few clouds
300,Jinchang,CN,38.4953,102.1739,58.48,14,0,3.04,clear sky
301,Vostok,RU,46.4856,135.8833,54.57,53,62,11.54,broken clouds
