City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mwene-Ditu,CD,2022-04-02 22:01:23,-7.0,23.45,66.2,98,100,3.29
1,Mataura,NZ,2022-04-02 21:57:32,-46.1927,168.8643,56.01,75,66,4.47
2,Alta Floresta,BR,2022-04-02 22:01:24,-9.8756,-56.0861,74.52,93,23,2.21
3,Grindavik,IS,2022-04-02 22:01:24,63.8424,-22.4338,45.07,100,100,13.8
4,Punta Arenas,CL,2022-04-02 22:01:25,-53.15,-70.9167,48.11,70,59,12.66
5,Namibe,AO,2022-04-02 22:01:25,-15.1961,12.1522,71.22,83,100,1.74
6,Alofi,NU,2022-04-02 22:01:26,-19.0595,-169.9187,80.64,73,50,10.4
7,Rikitea,PF,2022-04-02 22:01:26,-23.1203,-134.9692,74.57,56,15,5.61
8,Port Alfred,ZA,2022-04-02 21:51:31,-33.5906,26.891,63.18,94,100,3.0
9,Arraial Do Cabo,BR,2022-04-02 22:01:27,-22.9661,-42.0278,76.23,90,100,16.02
10,Tuktoyaktuk,CA,2022-04-02 21:58:40,69.4541,-133.0374,-14.8,76,75,9.22
11,Ushuaia,AR,2022-04-02 22:01:27,-54.8,-68.3,40.59,97,100,2.53
12,Belmonte,BR,2022-04-02 22:01:28,-15.8631,-38.8828,77.81,80,6,5.46
13,Tiksi,RU,2022-04-02 22:01:29,71.6872,128.8694,-6.86,100,100,5.82
14,Upernavik,GL,2022-04-02 21:52:47,72.7868,-56.1549,10.58,96,89,11.61
15,Soyo,AO,2022-04-02 22:01:29,-6.1349,12.3689,77.58,91,100,4.79
16,Praia Da Vitoria,PT,2022-04-02 22:01:30,38.7333,-27.0667,58.75,80,52,11.61
17,Ponta Do Sol,PT,2022-04-02 21:51:35,32.6667,-17.1,63.01,83,100,7.54
18,Cape Town,ZA,2022-04-02 22:01:30,-33.9258,18.4232,64.27,73,0,4.0
19,Bluff,NZ,2022-04-02 21:58:34,-46.6,168.3333,57.63,73,90,19.98
20,Lebu,CL,2022-04-02 21:52:41,-37.6167,-73.65,56.21,94,100,18.12
21,Makokou,GA,2022-04-02 22:01:31,0.5738,12.8642,69.96,99,70,1.1
22,Kassala,SD,2022-04-02 22:01:31,15.451,36.4,83.59,35,20,10.11
23,Novobirilyussy,RU,2022-04-02 22:01:31,56.9514,90.6661,14.34,98,56,1.1
24,Ancud,CL,2022-04-02 22:01:32,-41.8697,-73.8203,48.22,69,49,13.94
25,Bredy,RU,2022-04-02 22:01:32,52.4153,60.3411,35.8,93,100,10.29
26,Duldurga,RU,2022-04-02 22:01:33,50.6761,113.5931,30.94,70,68,4.99
27,Kloulklubed,PW,2022-04-02 22:01:34,7.0419,134.2556,75.7,73,68,4.7
28,Omboue,GA,2022-04-02 22:01:34,-1.5746,9.2618,73.54,95,93,4.27
29,Moletai,LT,2022-04-02 22:01:35,55.2333,25.4167,27.36,74,90,10.58
30,Victoria,HK,2022-04-02 21:57:18,22.2855,114.1577,62.26,60,97,11.99
31,Ostrovnoy,RU,2022-04-02 22:01:35,68.0531,39.5131,15.66,92,85,14.03
32,Tomatlan,MX,2022-04-02 22:01:36,19.9333,-105.25,85.95,40,4,11.36
33,Itarantim,BR,2022-04-02 22:01:36,-15.6597,-40.0656,74.25,76,6,6.13
34,New Norfolk,AU,2022-04-02 21:58:35,-42.7826,147.0587,55.71,70,86,1.01
35,Constitucion,CL,2022-04-02 22:00:56,-35.3333,-72.4167,60.19,91,67,13.31
36,Alice Springs,AU,2022-04-02 22:01:18,-23.7,133.8833,53.15,58,55,0.0
37,Tarauaca,BR,2022-04-02 22:00:06,-8.1614,-70.7656,75.24,79,98,1.45
38,Fershampenuaz,RU,2022-04-02 22:01:37,53.5202,59.8117,38.03,85,100,11.48
39,Balod,IN,2022-04-02 22:01:37,20.73,81.2047,79.0,20,14,4.47
40,Fredericksburg,US,2022-04-02 21:59:09,38.3032,-77.4605,62.08,31,0,6.91
41,Palmer,US,2022-04-02 22:02:38,42.1584,-72.3287,52.77,27,21,3.0
42,Butaritari,KI,2022-04-02 22:02:38,3.0707,172.7902,81.41,78,71,16.58
43,Albany,US,2022-04-02 21:58:01,42.6001,-73.9662,50.58,37,49,1.99
44,Mar Del Plata,AR,2022-04-02 22:00:29,-38.0023,-57.5575,65.88,69,0,21.99
45,Chokurdakh,RU,2022-04-02 22:02:39,70.6333,147.9167,0.09,92,100,4.5
46,Klaksvik,FO,2022-04-02 22:02:39,62.2266,-6.589,43.72,87,100,18.66
47,Tocopilla,CL,2022-04-02 22:02:39,-22.092,-70.1979,69.37,63,20,6.53
48,Tasiilaq,GL,2022-04-02 22:02:40,65.6145,-37.6368,26.76,94,100,21.23
49,Port-Gentil,GA,2022-04-02 22:02:41,-0.7193,8.7815,79.34,78,94,6.26
50,Nikolskoye,RU,2022-04-02 22:02:41,59.7035,30.7861,28.8,95,7,3.4
51,Lompoc,US,2022-04-02 21:52:47,34.6391,-120.4579,71.78,76,75,12.66
52,Avera,US,2022-04-02 22:02:42,33.194,-82.5271,70.38,45,100,4.83
53,Tadine,NC,2022-04-02 22:02:42,-21.55,167.8833,81.21,85,100,16.55
54,Nawalgarh,IN,2022-04-02 22:02:43,27.85,75.2667,77.05,8,0,8.95
55,Tautira,PF,2022-04-02 22:02:43,-17.7333,-149.15,82.29,78,100,10.58
56,Hamilton,US,2022-04-02 22:02:44,39.1834,-84.5333,51.89,52,100,9.22
57,Jamestown,US,2022-04-02 21:58:25,42.097,-79.2353,48.52,52,100,3.0
58,Bujumbura,BI,2022-04-02 22:02:45,-3.3822,29.3644,70.97,83,99,2.8
59,Slave Lake,CA,2022-04-02 22:02:45,55.2834,-114.769,43.09,53,79,10.92
60,Kijang,KR,2022-04-02 21:58:13,35.2442,129.2139,38.93,62,63,3.02
61,Ziway,ET,2022-04-02 22:02:46,7.9333,38.7167,68.47,51,46,7.14
62,Saint-Philippe,RE,2022-04-02 22:02:46,-21.3585,55.7679,74.79,98,100,20.31
63,Wasilla,US,2022-04-02 22:00:20,61.5814,-149.4394,45.95,47,20,18.41
64,Provideniya,RU,2022-04-02 22:02:47,64.3833,-173.3,17.31,54,0,10.58
65,Orsha,BY,2022-04-02 22:02:47,54.5153,30.4053,30.06,87,100,16.73
66,Umm Lajj,SA,2022-04-02 22:02:48,25.0213,37.2685,82.08,31,5,1.99
67,Vaini,TO,2022-04-02 22:02:48,-21.2,-175.2,79.81,73,0,5.46
68,San Policarpo,PH,2022-04-02 22:02:49,12.1791,125.5072,79.72,79,44,12.73
69,Chuy,UY,2022-04-02 22:02:49,-33.6971,-53.4616,62.85,74,2,12.33
70,Busselton,AU,2022-04-02 22:02:50,-33.65,115.3333,68.09,92,83,9.98
71,Pochutla,MX,2022-04-02 22:02:50,15.7432,-96.4661,89.82,33,5,8.23
72,San Cristobal,VE,2022-04-02 22:02:06,7.7669,-72.225,79.97,54,33,4.12
73,Luderitz,NA,2022-04-02 22:02:50,-26.6481,15.1594,60.06,81,1,12.93
74,Caravelas,BR,2022-04-02 22:02:51,-17.7125,-39.2481,77.23,81,0,5.79
75,Itarema,BR,2022-04-02 22:02:51,-2.9248,-39.9167,76.66,87,83,11.39
76,Vila,PT,2022-04-02 22:02:52,42.0304,-8.1588,38.28,80,0,5.77
77,Pevek,RU,2022-04-02 22:02:52,69.7008,170.3133,-4.16,94,99,2.55
78,Barranco De Loba,CO,2022-04-02 22:02:53,8.946,-74.1065,88.93,59,51,5.59
79,Rio Grande,BR,2022-04-02 22:02:53,-32.035,-52.0986,67.95,68,58,16.87
80,Bathsheba,BB,2022-04-02 22:02:54,13.2167,-59.5167,78.58,72,77,18.25
81,Kawalu,ID,2022-04-02 22:02:54,-7.3817,108.2082,72.82,94,100,2.37
